Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Total,Female,85,,yes,..85 years and over,4228470,4228470,3619254,367289,184150,22176,3931,31670
Total,Total,Female,0,18,,..Under 18 years,35730482,35730482,25749242,5422098,1904604,572580,104794,1977164
Total,Total,Female,0,5,,...Under 5 years,9567476,9567476,6856667,1458801,493188,154124,28553,576143
Total,Total,Female,5,9,,...5 to 13 years,18014321,18014321,12946478,2750415,958630,290438,52842,1015518
Total,Total,Female,14,4,,...14 to 17 years,8148685,8148685,5946097,1212882,452786,128018,23399,385503
Total,Total,Female,18,47,,..18 to 64 years,100867744,100867744,75644258,14469700,6852825,1286221,255219,2359521
Total,Total,Female,18,7,,...18 to 24 years,14767285,14767285,10756462,2270283,884427,222716,40563,592834
Total,Total,Female,25,20,,...25 to 44 years,43448205,43448205,31716004,6521910,3358395,590155,126741,1135000
Total,Total,Female,45,20,,...45 to 64 years,42652254,42652254,33171792,5677507,2610003,473350,87915,631687
Total,Total,Female,65,,,..65 years and over,29983973,29983973,24936375,3069948,1439828,220485,37966,279371
Total,Total,Female,85,,,..85 years and over,4228470,4228470,3619254,367289,184150,22176,3931,31670
Total,Total,Female,16,,,..16 years and over,134915844,134915844,103551503,18146948,8518826,1569641,304679,2824247
Total,Total,Female,18,,,..18 years and over,130851717,130851717,100580633,17539648,8292653,1506706,293185,2638892
Total,Not Hispanic,Total,0,5,yes,..Under 5 years,14482472,14482472,9697245,2684389,959256,161894,40085,939603
Total,Not Hispanic,Total,5,5,yes,..5 to 9 years,14952070,14952070,10011063,2776150,1019975,172598,40058,932226
Total,Not Hispanic,Total,10,5,yes,..10 to 14 years,15474507,15474507,10460991,2856810,1055572,176829,42183,882122
Total,Not Hispanic,Total,15,5,yes,..15 to 19 years,16014522,16014522,11038241,2895818,1107305,177333,41462,754363
Total,Not Hispanic,Total,20,5,yes,..20 to 24 years,16788398,16788398,11574506,3060213,1256369,181686,43020,672604
Total,Not Hispanic,Total,25,5,yes,..25 to 29 years,18569938,18569938,12665969,3493114,1575091,200776,50839,584149
Total,Not Hispanic,Total,30,5,yes,..30 to 34 years,17845120,17845120,12488443,3026581,1661341,175046,52049,441660
Total,Not Hispanic,Total,35,5,yes,..35 to 39 years,17227594,17227594,12257885,2783964,1600457,159155,49305,376828
Total,Not Hispanic,Total,40,5,yes,..40 to 44 years,15775065,15775065,11304550,2533979,1445094,142290,40787,308365
Total,Not Hispanic,Total,45,5,yes,..45 to 49 years,16582022,16582022,12149412,2566124,1411300,142567,37302,275317
Total,Not Hispanic,Total,50,5,yes,..50 to 54 years,17164672,17164672,13007754,2537690,1201079,145125,35062,237962
Total,Not Hispanic,Total,55,5,yes,..55 to 59 years,19028817,19028817,14872649,2612639,1117164,157082,34337,234946
Total,Not Hispanic,Total,60,5,yes,..60 to 64 years,18342792,18342792,14624720,2340884,1003002,141109,28962,204115
Total,Not Hispanic,Total,65,5,yes,..65 to 69 years,15814667,15814667,12863198,1814861,848563,110613,22369,155063
Total,Not Hispanic,Total,70,5,yes,..70 to 74 years,12846647,12846647,10706123,1285799,643700,81240,16508,113277
Total,Not Hispanic,Total,75,5,yes,..75 to 79 years,8872351,8872351,7480246,831780,426489,51392,9873,72571
Total,Not Hispanic,Total,80,5,yes,..80 to 84 years,5789770,5789770,4889393,535153,283340,31257,6046,44581
Total,Not Hispanic,Total,85,,yes,..85 years and over,6095862,6095862,5217434,511540,290782,26916,5661,43529
Total,Not Hispanic,Total,0,18,,..Under 18 years,54351585,54351585,36682894,10007157,3684072,615950,147057,3214455
Total,Not Hispanic,Total,0,5,,...Under 5 years,14482472,14482472,9697245,2684389,959256,161894,40085,939603
Total,Not Hispanic,Total,5,9,,...5 to 13 years,27304817,27304817,18336892,5070715,1860476,313884,73691,1649159
Total,Not Hispanic,Total,14,4,,...14 to 17 years,12564296,12564296,8648757,2252053,864340,140172,33281,625693
Total,Not Hispanic,Total,18,47,,..18 to 64 years,163896404,163896404,119470534,26161198,12728933,1517540,388394,3629805
Total,Not Hispanic,Total,18,7,,...18 to 24 years,23360384,23360384,16099152,4266223,1714405,254390,59751,966463
Total,Not Hispanic,Total,25,20,,...25 to 44 years,69417717,69417717,48716847,11837638,6281983,677267,192980,1711002
Total,Not Hispanic,Total,45,20,,...45 to 64 years,71118303,71118303,54654535,10057337,4732545,585883,135663,952340
Total,Not Hispanic,Total,65,,,..65 years and over,49419297,49419297,41156394,4979133,2492874,301418,60457,429021
Total,Not Hispanic,Total,85,,,..85 years and over,6095862,6095862,5217434,511540,290782,26916,5661,43529
Total,Not Hispanic,Total,16,,,..16 years and over,219605133,219605133,164968703,32269791,15653659,1888426,465274,4359280
Total,Not Hispanic,Total,18,,,..18 years and over,213315701,213315701,160626928,31140331,15221807,1818958,448851,4058826
Total,Not Hispanic,Male,0,5,yes,...Under 5 years,7411237,7411237,4975010,1360183,493292,82787,20461,479504
Total,Not Hispanic,Male,5,5,yes,...5 to 9 years,7651465,7651465,5136523,1407110,523236,87893,20474,476229
Total,Not Hispanic,Male,10,5,yes,...10 to 14 years,7902141,7902141,5361288,1446630,535036,89486,21398,448303
Total,Not Hispanic,Male,15,5,yes,...15 to 19 years,8177317,8177317,5663678,1466375,554140,90275,21218,381631
Total,Not Hispanic,Male,20,5,yes,...20 to 24 years,8579238,8579238,5940932,1549642,633525,92130,22107,340902
Total,Not Hispanic,Male,25,5,yes,...25 to 29 years,9439907,9439907,6477538,1761163,782670,102495,26090,289951
Total,Not Hispanic,Male,30,5,yes,...30 to 34 years,8941075,8941075,6325953,1484681,803656,88388,26791,211606
Total,Not Hispanic,Male,35,5,yes,...35 to 39 years,8542714,8542714,6172679,1331788,756389,78920,25247,177691
Total,Not Hispanic,Male,40,5,yes,...40 to 44 years,7788426,7788426,5685238,1194773,672370,70414,20753,144878
Total,Not Hispanic,Male,45,5,yes,...45 to 49 years,8164116,8164116,6085937,1201680,658574,69664,18855,129406
Total,Not Hispanic,Male,50,5,yes,...50 to 54 years,8416948,8416948,6471645,1187113,558679,70208,17356,111947
Total,Not Hispanic,Male,55,5,yes,...55 to 59 years,9235129,9235129,7311155,1208671,512885,74803,16743,110872
Total,Not Hispanic,Male,60,5,yes,...60 to 64 years,8786097,8786097,7099619,1060035,450307,65611,14047,96478
Total,Not Hispanic,Male,65,5,yes,...65 to 69 years,7438599,7438599,6143751,788098,372379,51042,10694,72635
Total,Not Hispanic,Male,70,5,yes,...70 to 74 years,5968534,5968534,5046753,541415,282576,37631,7930,52229
Total,Not Hispanic,Male,75,5,yes,...75 to 79 years,3986983,3986983,3407553,331089,188019,23282,4703,32337
Total,Not Hispanic,Male,80,5,yes,...80 to 84 years,2465196,2465196,2109701,198073,122285,13316,2660,19161
Total,Not Hispanic,Male,85,,yes,...85 years and over,2191165,2191165,1898120,155893,108791,10026,2248,16087
Total,Not Hispanic,Male,0,18,,...Under 18 years,27784041,27784041,18814179,5068948,1875863,313410,74966,1636675
Total,Not Hispanic,Male,0,5,,....Under 5 years,7411237,7411237,4975010,1360183,493292,82787,20461,479504
Total,Not Hispanic,Male,5,9,,....5 to 13 years,13960270,13960270,9403116,2568720,950533,159393,37581,840927
Total,Not Hispanic,Male,14,4,,....14 to 17 years,6412534,6412534,4436053,1140045,432038,71230,16924,316244
Total,Not Hispanic,Male,18,47,,...18 to 64 years,81251769,81251769,59893016,12590896,6058896,749664,196574,1762723
Total,Not Hispanic,Male,18,7,,....18 to 24 years,11937357,11937357,8263252,2160992,863366,129161,30692,489894
Total,Not Hispanic,Male,25,20,,....25 to 44 years,34712122,34712122,24661408,5772405,3015085,340217,98881,824126
Total,Not Hispanic,Male,45,20,,....45 to 64 years,34602290,34602290,26968356,4657499,2180445,280286,67001,448703
Total,Not Hispanic,Male,65,,,...65 years and over,22050477,22050477,18605878,2014568,1074050,135297,28235,192449
