Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Black,Total,Female,16,,,..16 years and over,18146948,,,,,,,
Black,Total,Female,18,,,..18 years and over,17539648,,,,,,,
Black,Not Hispanic,Total,0,5,yes,..Under 5 years,2684389,,,,,,,
Black,Not Hispanic,Total,5,5,yes,..5 to 9 years,2776150,,,,,,,
Black,Not Hispanic,Total,10,5,yes,..10 to 14 years,2856810,,,,,,,
Black,Not Hispanic,Total,15,5,yes,..15 to 19 years,2895818,,,,,,,
Black,Not Hispanic,Total,20,5,yes,..20 to 24 years,3060213,,,,,,,
Black,Not Hispanic,Total,25,5,yes,..25 to 29 years,3493114,,,,,,,
Black,Not Hispanic,Total,30,5,yes,..30 to 34 years,3026581,,,,,,,
Black,Not Hispanic,Total,35,5,yes,..35 to 39 years,2783964,,,,,,,
Black,Not Hispanic,Total,40,5,yes,..40 to 44 years,2533979,,,,,,,
Black,Not Hispanic,Total,45,5,yes,..45 to 49 years,2566124,,,,,,,
Black,Not Hispanic,Total,50,5,yes,..50 to 54 years,2537690,,,,,,,
Black,Not Hispanic,Total,55,5,yes,..55 to 59 years,2612639,,,,,,,
Black,Not Hispanic,Total,60,5,yes,..60 to 64 years,2340884,,,,,,,
Black,Not Hispanic,Total,65,5,yes,..65 to 69 years,1814861,,,,,,,
Black,Not Hispanic,Total,70,5,yes,..70 to 74 years,1285799,,,,,,,
Black,Not Hispanic,Total,75,5,yes,..75 to 79 years,831780,,,,,,,
Black,Not Hispanic,Total,80,5,yes,..80 to 84 years,535153,,,,,,,
Black,Not Hispanic,Total,85,,yes,..85 years and over,511540,,,,,,,
Black,Not Hispanic,Total,0,18,,..Under 18 years,10007157,,,,,,,
Black,Not Hispanic,Total,0,5,,...Under 5 years,2684389,,,,,,,
Black,Not Hispanic,Total,5,9,,...5 to 13 years,5070715,,,,,,,
Black,Not Hispanic,Total,14,4,,...14 to 17 years,2252053,,,,,,,
Black,Not Hispanic,Total,18,47,,..18 to 64 years,26161198,,,,,,,
Black,Not Hispanic,Total,18,7,,...18 to 24 years,4266223,,,,,,,
Black,Not Hispanic,Total,25,20,,...25 to 44 years,11837638,,,,,,,
Black,Not Hispanic,Total,45,20,,...45 to 64 years,10057337,,,,,,,
Black,Not Hispanic,Total,65,,,..65 years and over,4979133,,,,,,,
Black,Not Hispanic,Total,85,,,..85 years and over,511540,,,,,,,
Black,Not Hispanic,Total,16,,,..16 years and over,32269791,,,,,,,
Black,Not Hispanic,Total,18,,,..18 years and over,31140331,,,,,,,
Black,Not Hispanic,Male,0,5,yes,...Under 5 years,1360183,,,,,,,
Black,Not Hispanic,Male,5,5,yes,...5 to 9 years,1407110,,,,,,,
Black,Not Hispanic,Male,10,5,yes,...10 to 14 years,1446630,,,,,,,
Black,Not Hispanic,Male,15,5,yes,...15 to 19 years,1466375,,,,,,,
Black,Not Hispanic,Male,20,5,yes,...20 to 24 years,1549642,,,,,,,
Black,Not Hispanic,Male,25,5,yes,...25 to 29 years,1761163,,,,,,,
Black,Not Hispanic,Male,30,5,yes,...30 to 34 years,1484681,,,,,,,
Black,Not Hispanic,Male,35,5,yes,...35 to 39 years,1331788,,,,,,,
Black,Not Hispanic,Male,40,5,yes,...40 to 44 years,1194773,,,,,,,
Black,Not Hispanic,Male,45,5,yes,...45 to 49 years,1201680,,,,,,,
Black,Not Hispanic,Male,50,5,yes,...50 to 54 years,1187113,,,,,,,
Black,Not Hispanic,Male,55,5,yes,...55 to 59 years,1208671,,,,,,,
Black,Not Hispanic,Male,60,5,yes,...60 to 64 years,1060035,,,,,,,
Black,Not Hispanic,Male,65,5,yes,...65 to 69 years,788098,,,,,,,
Black,Not Hispanic,Male,70,5,yes,...70 to 74 years,541415,,,,,,,
Black,Not Hispanic,Male,75,5,yes,...75 to 79 years,331089,,,,,,,
Black,Not Hispanic,Male,80,5,yes,...80 to 84 years,198073,,,,,,,
Black,Not Hispanic,Male,85,,yes,...85 years and over,155893,,,,,,,
Black,Not Hispanic,Male,0,18,,...Under 18 years,5068948,,,,,,,
Black,Not Hispanic,Male,0,5,,....Under 5 years,1360183,,,,,,,
Black,Not Hispanic,Male,5,9,,....5 to 13 years,2568720,,,,,,,
Black,Not Hispanic,Male,14,4,,....14 to 17 years,1140045,,,,,,,
Black,Not Hispanic,Male,18,47,,...18 to 64 years,12590896,,,,,,,
Black,Not Hispanic,Male,18,7,,....18 to 24 years,2160992,,,,,,,
Black,Not Hispanic,Male,25,20,,....25 to 44 years,5772405,,,,,,,
Black,Not Hispanic,Male,45,20,,....45 to 64 years,4657499,,,,,,,
Black,Not Hispanic,Male,65,,,...65 years and over,2014568,,,,,,,
Black,Not Hispanic,Male,85,,,...85 years and over,155893,,,,,,,
Black,Not Hispanic,Male,16,,,...16 years and over,15176760,,,,,,,
Black,Not Hispanic,Male,18,,,...18 years and over,14605464,,,,,,,
Black,Not Hispanic,Female,0,5,yes,...Under 5 years,1324206,,,,,,,
Black,Not Hispanic,Female,5,5,yes,...5 to 9 years,1369040,,,,,,,
Black,Not Hispanic,Female,10,5,yes,...10 to 14 years,1410180,,,,,,,
Black,Not Hispanic,Female,15,5,yes,...15 to 19 years,1429443,,,,,,,
Black,Not Hispanic,Female,20,5,yes,...20 to 24 years,1510571,,,,,,,
Black,Not Hispanic,Female,25,5,yes,...25 to 29 years,1731951,,,,,,,
Black,Not Hispanic,Female,30,5,yes,...30 to 34 years,1541900,,,,,,,
Black,Not Hispanic,Female,35,5,yes,...35 to 39 years,1452176,,,,,,,
Black,Not Hispanic,Female,40,5,yes,...40 to 44 years,1339206,,,,,,,
Black,Not Hispanic,Female,45,5,yes,...45 to 49 years,1364444,,,,,,,
Black,Not Hispanic,Female,50,5,yes,...50 to 54 years,1350577,,,,,,,
Black,Not Hispanic,Female,55,5,yes,...55 to 59 years,1403968,,,,,,,
Black,Not Hispanic,Female,60,5,yes,...60 to 64 years,1280849,,,,,,,
Black,Not Hispanic,Female,65,5,yes,...65 to 69 years,1026763,,,,,,,
Black,Not Hispanic,Female,70,5,yes,...70 to 74 years,744384,,,,,,,
Black,Not Hispanic,Female,75,5,yes,...75 to 79 years,500691,,,,,,,
Black,Not Hispanic,Female,80,5,yes,...80 to 84 years,337080,,,,,,,
Black,Not Hispanic,Female,85,,yes,...85 years and over,355647,,,,,,,
Black,Not Hispanic,Female,0,18,,...Under 18 years,4938209,,,,,,,
Black,Not Hispanic,Female,0,5,,....Under 5 years,1324206,,,,,,,
Black,Not Hispanic,Female,5,9,,....5 to 13 years,2501995,,,,,,,
Black,Not Hispanic,Female,14,4,,....14 to 17 years,1112008,,,,,,,
Black,Not Hispanic,Female,18,47,,...18 to 64 years,13570302,,,,,,,
Black,Not Hispanic,Female,18,7,,....18 to 24 years,2105231,,,,,,,
Black,Not Hispanic,Female,25,20,,....25 to 44 years,6065233,,,,,,,
Black,Not Hispanic,Female,45,20,,....45 to 64 years,5399838,,,,,,,
Black,Not Hispanic,Female,65,,,...65 years and over,2964565,,,,,,,
Black,Not Hispanic,Female,85,,,...85 years and over,355647,,,,,,,
Black,Not Hispanic,Female,16,,,...16 years and over,17093031,,,,,,,
Black,Not Hispanic,Female,18,,,...18 years and over,16534867,,,,,,,
Black,Hispanic,Total,0,5,yes,..Under 5 years,273769,,,,,,,
Black,Hispanic,Total,5,5,yes,..5 to 9 years,276151,,,,,,,
Black,Hispanic,Total,10,5,yes,..10 to 14 years,282789,,,,,,,
Black,Hispanic,Total,15,5,yes,..15 to 19 years,252768,,,,,,,
Black,Hispanic,Total,20,5,yes,..20 to 24 years,238644,,,,,,,
Black,Hispanic,Total,25,5,yes,..25 to 29 years,253330,,,,,,,
Black,Hispanic,Total,30,5,yes,..30 to 34 years,235339,,,,,,,
Black,Hispanic,Total,35,5,yes,..35 to 39 years,219956,,,,,,,
Black,Hispanic,Total,40,5,yes,..40 to 44 years,192276,,,,,,,
Black,Hispanic,Total,45,5,yes,..45 to 49 years,162012,,,,,,,
Black,Hispanic,Total,50,5,yes,..50 to 54 years,140820,,,,,,,
Black,Hispanic,Total,55,5,yes,..55 to 59 years,121052,,,,,,,
Black,Hispanic,Total,60,5,yes,..60 to 64 years,95300,,,,,,,
Black,Hispanic,Total,65,5,yes,..65 to 69 years,68473,,,,,,,
Black,Hispanic,Total,70,5,yes,..70 to 74 years,47139,,,,,,,
Black,Hispanic,Total,75,5,yes,..75 to 79 years,30122,,,,,,,
Black,Hispanic,Total,80,5,yes,..80 to 84 years,20078,,,,,,,
Black,Hispanic,Total,85,,yes,..85 years and over,17580,,,,,,,
Black,Hispanic,Total,0,18,,..Under 18 years,984860,,,,,,,
Black,Hispanic,Total,0,5,,...Under 5 years,273769,,,,,,,
Black,Hispanic,Total,5,9,,...5 to 13 years,505301,,,,,,,
Black,Hispanic,Total,14,4,,...14 to 17 years,205790,,,,,,,
Black,Hispanic,Total,18,47,,..18 to 64 years,1759346,,,,,,,
Black,Hispanic,Total,18,7,,...18 to 24 years,339261,,,,,,,
Black,Hispanic,Total,25,20,,...25 to 44 years,900901,,,,,,,
Black,Hispanic,Total,45,20,,...45 to 64 years,519184,,,,,,,
Black,Hispanic,Total,65,,,..65 years and over,183392,,,,,,,
Black,Hispanic,Total,85,,,..85 years and over,17580,,,,,,,
Black,Hispanic,Total,16,,,..16 years and over,2043267,,,,,,,
Black,Hispanic,Total,18,,,..18 years and over,1942738,,,,,,,
Black,Hispanic,Male,0,5,yes,...Under 5 years,139174,,,,,,,
Black,Hispanic,Male,5,5,yes,...5 to 9 years,140342,,,,,,,
Black,Hispanic,Male,10,5,yes,...10 to 14 years,143796,,,,,,,
Black,Hispanic,Male,15,5,yes,...15 to 19 years,129188,,,,,,,
Black,Hispanic,Male,20,5,yes,...20 to 24 years,122680,,,,,,,
Black,Hispanic,Male,25,5,yes,...25 to 29 years,129820,,,,,,,
Black,Hispanic,Male,30,5,yes,...30 to 34 years,117236,,,,,,,
Black,Hispanic,Male,35,5,yes,...35 to 39 years,106488,,,,,,,
Black,Hispanic,Male,40,5,yes,...40 to 44 years,90680,,,,,,,
Black,Hispanic,Male,45,5,yes,...45 to 49 years,75111,,,,,,,
Black,Hispanic,Male,50,5,yes,...50 to 54 years,66094,,,,,,,
Black,Hispanic,Male,55,5,yes,...55 to 59 years,56482,,,,,,,
Black,Hispanic,Male,60,5,yes,...60 to 64 years,43828,,,,,,,
Black,Hispanic,Male,65,5,yes,...65 to 69 years,31035,,,,,,,
Black,Hispanic,Male,70,5,yes,...70 to 74 years,20365,,,,,,,
Black,Hispanic,Male,75,5,yes,...75 to 79 years,12654,,,,,,,
Black,Hispanic,Male,80,5,yes,...80 to 84 years,8017,,,,,,,
Black,Hispanic,Male,85,,yes,...85 years and over,5938,,,,,,,
Black,Hispanic,Male,0,18,,...Under 18 years,500971,,,,,,,
Black,Hispanic,Male,0,5,,....Under 5 years,139174,,,,,,,
Black,Hispanic,Male,5,9,,....5 to 13 years,256881,,,,,,,
Black,Hispanic,Male,14,4,,....14 to 17 years,104916,,,,,,,
Black,Hispanic,Male,18,47,,...18 to 64 years,859948,,,,,,,
Black,Hispanic,Male,18,7,,....18 to 24 years,174209,,,,,,,
Black,Hispanic,Male,25,20,,....25 to 44 years,444224,,,,,,,
Black,Hispanic,Male,45,20,,....45 to 64 years,241515,,,,,,,
Black,Hispanic,Male,65,,,...65 years and over,78009,,,,,,,
Black,Hispanic,Male,85,,,...85 years and over,5938,,,,,,,
Black,Hispanic,Male,16,,,...16 years and over,989350,,,,,,,
Black,Hispanic,Male,18,,,...18 years and over,937957,,,,,,,
Black,Hispanic,Female,0,5,yes,...Under 5 years,134595,,,,,,,
Black,Hispanic,Female,5,5,yes,...5 to 9 years,135809,,,,,,,
Black,Hispanic,Female,10,5,yes,...10 to 14 years,138993,,,,,,,
Black,Hispanic,Female,15,5,yes,...15 to 19 years,123580,,,,,,,
Black,Hispanic,Female,20,5,yes,...20 to 24 years,115964,,,,,,,
Black,Hispanic,Female,25,5,yes,...25 to 29 years,123510,,,,,,,
Black,Hispanic,Female,30,5,yes,...30 to 34 years,118103,,,,,,,
Black,Hispanic,Female,35,5,yes,...35 to 39 years,113468,,,,,,,
Black,Hispanic,Female,40,5,yes,...40 to 44 years,101596,,,,,,,
Black,Hispanic,Female,45,5,yes,...45 to 49 years,86901,,,,,,,
Black,Hispanic,Female,50,5,yes,...50 to 54 years,74726,,,,,,,
Black,Hispanic,Female,55,5,yes,...55 to 59 years,64570,,,,,,,
Black,Hispanic,Female,60,5,yes,...60 to 64 years,51472,,,,,,,
Black,Hispanic,Female,65,5,yes,...65 to 69 years,37438,,,,,,,
Black,Hispanic,Female,70,5,yes,...70 to 74 years,26774,,,,,,,
Black,Hispanic,Female,75,5,yes,...75 to 79 years,17468,,,,,,,
Black,Hispanic,Female,80,5,yes,...80 to 84 years,12061,,,,,,,
Black,Hispanic,Female,85,,yes,...85 years and over,11642,,,,,,,
Black,Hispanic,Female,0,18,,...Under 18 years,483889,,,,,,,
Black,Hispanic,Female,0,5,,....Under 5 years,134595,,,,,,,
Black,Hispanic,Female,5,9,,....5 to 13 years,248420,,,,,,,
Black,Hispanic,Female,14,4,,....14 to 17 years,100874,,,,,,,
Black,Hispanic,Female,18,47,,...18 to 64 years,899398,,,,,,,
Black,Hispanic,Female,18,7,,....18 to 24 years,165052,,,,,,,
Black,Hispanic,Female,25,20,,....25 to 44 years,456677,,,,,,,
Black,Hispanic,Female,45,20,,....45 to 64 years,277669,,,,,,,
Black,Hispanic,Female,65,,,...65 years and over,105383,,,,,,,
Black,Hispanic,Female,85,,,...85 years and over,11642,,,,,,,
Black,Hispanic,Female,16,,,...16 years and over,1053917,,,,,,,
Black,Hispanic,Female,18,,,...18 years and over,1004781,,,,,,,
Asian,Total,Total,0,5,yes,.Under 5 years,1015050,,,,,,,
Asian,Total,Total,5,5,yes,.5 to 9 years,1073210,,,,,,,
Asian,Total,Total,10,5,yes,.10 to 14 years,1112902,,,,,,,
Asian,Total,Total,15,5,yes,.15 to 19 years,1158417,,,,,,,
Asian,Total,Total,20,5,yes,.20 to 24 years,1304858,,,,,,,
Asian,Total,Total,25,5,yes,.25 to 29 years,1625556,,,,,,,
Asian,Total,Total,30,5,yes,.30 to 34 years,1708800,,,,,,,
Asian,Total,Total,35,5,yes,.35 to 39 years,1645590,,,,,,,
Asian,Total,Total,40,5,yes,.40 to 44 years,1486103,,,,,,,
Asian,Total,Total,45,5,yes,.45 to 49 years,1447456,,,,,,,
Asian,Total,Total,50,5,yes,.50 to 54 years,1231402,,,,,,,
Asian,Total,Total,55,5,yes,.55 to 59 years,1143030,,,,,,,
Asian,Total,Total,60,5,yes,.60 to 64 years,1023018,,,,,,,
Asian,Total,Total,65,5,yes,.65 to 69 years,862595,,,,,,,
Asian,Total,Total,70,5,yes,.70 to 74 years,653253,,,,,,,
Asian,Total,Total,75,5,yes,.75 to 79 years,432416,,,,,,,
Asian,Total,Total,80,5,yes,.80 to 84 years,287130,,,,,,,
Asian,Total,Total,85,,yes,.85 years and over,294076,,,,,,,
Asian,Total,Total,0,18,,.Under 18 years,3881610,,,,,,,
Asian,Total,Total,0,5,,..Under 5 years,1015050,,,,,,,
Asian,Total,Total,5,9,,..5 to 13 years,1960182,,,,,,,
Asian,Total,Total,14,4,,..14 to 17 years,906378,,,,,,,
Asian,Total,Total,18,47,,.18 to 64 years,13093782,,,,,,,
Asian,Total,Total,18,7,,..18 to 24 years,1782827,,,,,,,
Asian,Total,Total,25,20,,..25 to 44 years,6466049,,,,,,,
Asian,Total,Total,45,20,,..45 to 64 years,4844906,,,,,,,
Asian,Total,Total,65,,,.65 years and over,2529470,,,,,,,
Asian,Total,Total,85,,,.85 years and over,294076,,,,,,,
Asian,Total,Total,16,,,.16 years and over,16075664,,,,,,,
Asian,Total,Total,18,,,.18 years and over,15623252,,,,,,,
Asian,Total,Male,0,5,yes,..Under 5 years,521862,,,,,,,
Asian,Total,Male,5,5,yes,..5 to 9 years,550386,,,,,,,
Asian,Total,Male,10,5,yes,..10 to 14 years,564500,,,,,,,
Asian,Total,Male,15,5,yes,..15 to 19 years,580384,,,,,,,
Asian,Total,Male,20,5,yes,..20 to 24 years,658274,,,,,,,
Asian,Total,Male,25,5,yes,..25 to 29 years,807951,,,,,,,
Asian,Total,Male,30,5,yes,..30 to 34 years,827587,,,,,,,
Asian,Total,Male,35,5,yes,..35 to 39 years,779335,,,,,,,
Asian,Total,Male,40,5,yes,..40 to 44 years,692781,,,,,,,
Asian,Total,Male,45,5,yes,..45 to 49 years,676325,,,,,,,
Asian,Total,Male,50,5,yes,..50 to 54 years,573499,,,,,,,
Asian,Total,Male,55,5,yes,..55 to 59 years,525283,,,,,,,
Asian,Total,Male,60,5,yes,..60 to 64 years,459796,,,,,,,
Asian,Total,Male,65,5,yes,..65 to 69 years,378674,,,,,,,
Asian,Total,Male,70,5,yes,..70 to 74 years,286774,,,,,,,
Asian,Total,Male,75,5,yes,..75 to 79 years,190490,,,,,,,
Asian,Total,Male,80,5,yes,..80 to 84 years,123778,,,,,,,
Asian,Total,Male,85,,yes,..85 years and over,109926,,,,,,,
Asian,Total,Male,0,18,,..Under 18 years,1977006,,,,,,,
Asian,Total,Male,0,5,,...Under 5 years,521862,,,,,,,
Asian,Total,Male,5,9,,...5 to 13 years,1001552,,,,,,,
Asian,Total,Male,14,4,,...14 to 17 years,453592,,,,,,,
Asian,Total,Male,18,47,,..18 to 64 years,6240957,,,,,,,
Asian,Total,Male,18,7,,...18 to 24 years,898400,,,,,,,
Asian,Total,Male,25,20,,...25 to 44 years,3107654,,,,,,,
Asian,Total,Male,45,20,,...45 to 64 years,2234903,,,,,,,
Asian,Total,Male,65,,,..65 years and over,1089642,,,,,,,
Asian,Total,Male,85,,,..85 years and over,109926,,,,,,,
Asian,Total,Male,16,,,..16 years and over,7556838,,,,,,,
Asian,Total,Male,18,,,..18 years and over,7330599,,,,,,,
Asian,Total,Female,0,5,yes,..Under 5 years,493188,,,,,,,
Asian,Total,Female,5,5,yes,..5 to 9 years,522824,,,,,,,
Asian,Total,Female,10,5,yes,..10 to 14 years,548402,,,,,,,
Asian,Total,Female,15,5,yes,..15 to 19 years,578033,,,,,,,
Asian,Total,Female,20,5,yes,..20 to 24 years,646584,,,,,,,
Asian,Total,Female,25,5,yes,..25 to 29 years,817605,,,,,,,
Asian,Total,Female,30,5,yes,..30 to 34 years,881213,,,,,,,
Asian,Total,Female,35,5,yes,..35 to 39 years,866255,,,,,,,
Asian,Total,Female,40,5,yes,..40 to 44 years,793322,,,,,,,
Asian,Total,Female,45,5,yes,..45 to 49 years,771131,,,,,,,
Asian,Total,Female,50,5,yes,..50 to 54 years,657903,,,,,,,
Asian,Total,Female,55,5,yes,..55 to 59 years,617747,,,,,,,
Asian,Total,Female,60,5,yes,..60 to 64 years,563222,,,,,,,
Asian,Total,Female,65,5,yes,..65 to 69 years,483921,,,,,,,
Asian,Total,Female,70,5,yes,..70 to 74 years,366479,,,,,,,
Asian,Total,Female,75,5,yes,..75 to 79 years,241926,,,,,,,
Asian,Total,Female,80,5,yes,..80 to 84 years,163352,,,,,,,
Asian,Total,Female,85,,yes,..85 years and over,184150,,,,,,,
Asian,Total,Female,0,18,,..Under 18 years,1904604,,,,,,,
Asian,Total,Female,0,5,,...Under 5 years,493188,,,,,,,
Asian,Total,Female,5,9,,...5 to 13 years,958630,,,,,,,
Asian,Total,Female,14,4,,...14 to 17 years,452786,,,,,,,
Asian,Total,Female,18,47,,..18 to 64 years,6852825,,,,,,,
Asian,Total,Female,18,7,,...18 to 24 years,884427,,,,,,,
Asian,Total,Female,25,20,,...25 to 44 years,3358395,,,,,,,
Asian,Total,Female,45,20,,...45 to 64 years,2610003,,,,,,,
Asian,Total,Female,65,,,..65 years and over,1439828,,,,,,,
Asian,Total,Female,85,,,..85 years and over,184150,,,,,,,
Asian,Total,Female,16,,,..16 years and over,8518826,,,,,,,
Asian,Total,Female,18,,,..18 years and over,8292653,,,,,,,
Asian,Not Hispanic,Total,0,5,yes,..Under 5 years,959256,,,,,,,
Asian,Not Hispanic,Total,5,5,yes,..5 to 9 years,1019975,,,,,,,
Asian,Not Hispanic,Total,10,5,yes,..10 to 14 years,1055572,,,,,,,
Asian,Not Hispanic,Total,15,5,yes,..15 to 19 years,1107305,,,,,,,
Asian,Not Hispanic,Total,20,5,yes,..20 to 24 years,1256369,,,,,,,
Asian,Not Hispanic,Total,25,5,yes,..25 to 29 years,1575091,,,,,,,
Asian,Not Hispanic,Total,30,5,yes,..30 to 34 years,1661341,,,,,,,
Asian,Not Hispanic,Total,35,5,yes,..35 to 39 years,1600457,,,,,,,
Asian,Not Hispanic,Total,40,5,yes,..40 to 44 years,1445094,,,,,,,
Asian,Not Hispanic,Total,45,5,yes,..45 to 49 years,1411300,,,,,,,
Asian,Not Hispanic,Total,50,5,yes,..50 to 54 years,1201079,,,,,,,
Asian,Not Hispanic,Total,55,5,yes,..55 to 59 years,1117164,,,,,,,
Asian,Not Hispanic,Total,60,5,yes,..60 to 64 years,1003002,,,,,,,
Asian,Not Hispanic,Total,65,5,yes,..65 to 69 years,848563,,,,,,,
Asian,Not Hispanic,Total,70,5,yes,..70 to 74 years,643700,,,,,,,
Asian,Not Hispanic,Total,75,5,yes,..75 to 79 years,426489,,,,,,,
Asian,Not Hispanic,Total,80,5,yes,..80 to 84 years,283340,,,,,,,
Asian,Not Hispanic,Total,85,,yes,..85 years and over,290782,,,,,,,
Asian,Not Hispanic,Total,0,18,,..Under 18 years,3684072,,,,,,,
Asian,Not Hispanic,Total,0,5,,...Under 5 years,959256,,,,,,,
Asian,Not Hispanic,Total,5,9,,...5 to 13 years,1860476,,,,,,,
Asian,Not Hispanic,Total,14,4,,...14 to 17 years,864340,,,,,,,
Asian,Not Hispanic,Total,18,47,,..18 to 64 years,12728933,,,,,,,
Asian,Not Hispanic,Total,18,7,,...18 to 24 years,1714405,,,,,,,
Asian,Not Hispanic,Total,25,20,,...25 to 44 years,6281983,,,,,,,
Asian,Not Hispanic,Total,45,20,,...45 to 64 years,4732545,,,,,,,
Asian,Not Hispanic,Total,65,,,..65 years and over,2492874,,,,,,,
Asian,Not Hispanic,Total,85,,,..85 years and over,290782,,,,,,,
Asian,Not Hispanic,Total,16,,,..16 years and over,15653659,,,,,,,
Asian,Not Hispanic,Total,18,,,..18 years and over,15221807,,,,,,,
Asian,Not Hispanic,Male,0,5,yes,...Under 5 years,493292,,,,,,,
Asian,Not Hispanic,Male,5,5,yes,...5 to 9 years,523236,,,,,,,
Asian,Not Hispanic,Male,10,5,yes,...10 to 14 years,535036,,,,,,,
Asian,Not Hispanic,Male,15,5,yes,...15 to 19 years,554140,,,,,,,
Asian,Not Hispanic,Male,20,5,yes,...20 to 24 years,633525,,,,,,,
Asian,Not Hispanic,Male,25,5,yes,...25 to 29 years,782670,,,,,,,
Asian,Not Hispanic,Male,30,5,yes,...30 to 34 years,803656,,,,,,,
Asian,Not Hispanic,Male,35,5,yes,...35 to 39 years,756389,,,,,,,
Asian,Not Hispanic,Male,40,5,yes,...40 to 44 years,672370,,,,,,,
Asian,Not Hispanic,Male,45,5,yes,...45 to 49 years,658574,,,,,,,
Asian,Not Hispanic,Male,50,5,yes,...50 to 54 years,558679,,,,,,,
Asian,Not Hispanic,Male,55,5,yes,...55 to 59 years,512885,,,,,,,
Asian,Not Hispanic,Male,60,5,yes,...60 to 64 years,450307,,,,,,,
Asian,Not Hispanic,Male,65,5,yes,...65 to 69 years,372379,,,,,,,
Asian,Not Hispanic,Male,70,5,yes,...70 to 74 years,282576,,,,,,,
Asian,Not Hispanic,Male,75,5,yes,...75 to 79 years,188019,,,,,,,
Asian,Not Hispanic,Male,80,5,yes,...80 to 84 years,122285,,,,,,,
Asian,Not Hispanic,Male,85,,yes,...85 years and over,108791,,,,,,,
Asian,Not Hispanic,Male,0,18,,...Under 18 years,1875863,,,,,,,
Asian,Not Hispanic,Male,0,5,,....Under 5 years,493292,,,,,,,
Asian,Not Hispanic,Male,5,9,,....5 to 13 years,950533,,,,,,,
Asian,Not Hispanic,Male,14,4,,....14 to 17 years,432038,,,,,,,
Asian,Not Hispanic,Male,18,47,,...18 to 64 years,6058896,,,,,,,
Asian,Not Hispanic,Male,18,7,,....18 to 24 years,863366,,,,,,,
Asian,Not Hispanic,Male,25,20,,....25 to 44 years,3015085,,,,,,,
Asian,Not Hispanic,Male,45,20,,....45 to 64 years,2180445,,,,,,,
Asian,Not Hispanic,Male,65,,,...65 years and over,1074050,,,,,,,
Asian,Not Hispanic,Male,85,,,...85 years and over,108791,,,,,,,
Asian,Not Hispanic,Male,16,,,...16 years and over,7348698,,,,,,,
Asian,Not Hispanic,Male,18,,,...18 years and over,7132946,,,,,,,
Asian,Not Hispanic,Female,0,5,yes,...Under 5 years,465964,,,,,,,
Asian,Not Hispanic,Female,5,5,yes,...5 to 9 years,496739,,,,,,,
Asian,Not Hispanic,Female,10,5,yes,...10 to 14 years,520536,,,,,,,
Asian,Not Hispanic,Female,15,5,yes,...15 to 19 years,553165,,,,,,,
Asian,Not Hispanic,Female,20,5,yes,...20 to 24 years,622844,,,,,,,
Asian,Not Hispanic,Female,25,5,yes,...25 to 29 years,792421,,,,,,,
Asian,Not Hispanic,Female,30,5,yes,...30 to 34 years,857685,,,,,,,
Asian,Not Hispanic,Female,35,5,yes,...35 to 39 years,844068,,,,,,,
Asian,Not Hispanic,Female,40,5,yes,...40 to 44 years,772724,,,,,,,
Asian,Not Hispanic,Female,45,5,yes,...45 to 49 years,752726,,,,,,,
Asian,Not Hispanic,Female,50,5,yes,...50 to 54 years,642400,,,,,,,
Asian,Not Hispanic,Female,55,5,yes,...55 to 59 years,604279,,,,,,,
Asian,Not Hispanic,Female,60,5,yes,...60 to 64 years,552695,,,,,,,
Asian,Not Hispanic,Female,65,5,yes,...65 to 69 years,476184,,,,,,,
Asian,Not Hispanic,Female,70,5,yes,...70 to 74 years,361124,,,,,,,
Asian,Not Hispanic,Female,75,5,yes,...75 to 79 years,238470,,,,,,,
Asian,Not Hispanic,Female,80,5,yes,...80 to 84 years,161055,,,,,,,
Asian,Not Hispanic,Female,85,,yes,...85 years and over,181991,,,,,,,
Asian,Not Hispanic,Female,0,18,,...Under 18 years,1808209,,,,,,,
Asian,Not Hispanic,Female,0,5,,....Under 5 years,465964,,,,,,,
Asian,Not Hispanic,Female,5,9,,....5 to 13 years,909943,,,,,,,
Asian,Not Hispanic,Female,14,4,,....14 to 17 years,432302,,,,,,,
Asian,Not Hispanic,Female,18,47,,...18 to 64 years,6670037,,,,,,,
Asian,Not Hispanic,Female,18,7,,....18 to 24 years,851039,,,,,,,
Asian,Not Hispanic,Female,25,20,,....25 to 44 years,3266898,,,,,,,
Asian,Not Hispanic,Female,45,20,,....45 to 64 years,2552100,,,,,,,
Asian,Not Hispanic,Female,65,,,...65 years and over,1418824,,,,,,,
Asian,Not Hispanic,Female,85,,,...85 years and over,181991,,,,,,,
Asian,Not Hispanic,Female,16,,,...16 years and over,8304961,,,,,,,
Asian,Not Hispanic,Female,18,,,...18 years and over,8088861,,,,,,,
Asian,Hispanic,Total,0,5,yes,..Under 5 years,55794,,,,,,,
Asian,Hispanic,Total,5,5,yes,..5 to 9 years,53235,,,,,,,
Asian,Hispanic,Total,10,5,yes,..10 to 14 years,57330,,,,,,,
Asian,Hispanic,Total,15,5,yes,..15 to 19 years,51112,,,,,,,
Asian,Hispanic,Total,20,5,yes,..20 to 24 years,48489,,,,,,,
Asian,Hispanic,Total,25,5,yes,..25 to 29 years,50465,,,,,,,
